frame_index,track_id,prev_box_id,curr_box_id,match_count
1,0,0,0,240
1,1,1,1,77
1,2,2,2,15
1,3,3,3,66
1,4,4,4,187
1,5,5,0,3
1,6,6,5,21
2,0,0,0,245
2,1,1,1,87
2,2,2,2,18
2,3,3,4,75
2,4,4,3,189
2,6,5,0,2
3,0,0,0,251
3,1,1,1,87
3,2,2,2,16
3,4,3,4,189
3,3,4,3,96
3,8,5,5,24
3,9,6,4,10
4,0,0,0,236
4,1,1,1,83
4,2,2,2,18
4,3,3,3,92
4,4,4,4,172
4,8,5,8,16
5,0,0,0,229
5,1,1,1,84
5,2,2,2,21
5,3,3,3,98
5,4,4,4,155
5,10,5,7,8
5,11,6,6,4
5,12,7,5,16
5,8,8,6,14
6,0,0,0,218
6,1,1,2,77
6,2,2,1,21
6,3,3,3,112
6,4,4,4,153
6,12,5,6,21
6,11,6,5,22
6,10,7,7,7
7,0,0,0,201
7,2,1,2,17
7,1,2,1,80
7,3,3,3,115
7,4,4,5,157
7,11,5,7,23
7,12,6,6,32
7,10,7,4,6
7,13,8,0,1
7,14,9,4,1
8,0,0,1,222
8,1,1,0,93
8,2,2,2,19
8,3,3,3,119
8,10,4,5,10
8,4,5,4,158
8,12,6,4,52
8,11,7,6,20
9,1,0,1,90
9,0,1,0,211
9,2,2,2,19
9,3,3,3,104
9,4,4,4,247
9,10,5,0,1
9,11,6,5,23
10,0,0,0,185
10,1,1,1,86
10,2,2,3,22
10,3,3,2,100
10,4,4,4,247
10,11,5,6,34
10,15,6,5,7
11,0,0,0,181
11,1,1,1,84
11,3,2,4,114
11,2,3,3,20
11,4,4,2,267
11,15,5,5,9
11,11,6,6,28
12,0,0,0,198
12,1,1,1,85
12,4,2,4,282
12,2,3,3,20
12,3,4,2,127
12,15,5,6,11
12,11,6,5,30
13,0,0,0,168
13,1,1,1,89
13,3,2,2,127
13,2,3,4,17
13,4,4,3,297
13,11,5,5,26
13,15,6,7,9
14,0,0,0,143
14,1,1,2,89
14,3,2,1,130
14,4,3,3,294
14,2,4,4,11
14,11,5,5,14
14,16,6,6,3
14,15,7,6,7
14,17,8,7,8
15,0,0,0,141
15,3,1,2,144
15,1,2,1,85
15,4,3,3,314
15,2,4,4,8
15,11,5,5,13
15,16,6,6,4
15,17,7,0,3
16,0,0,0,163
16,1,1,1,94
16,3,2,2,153
16,4,3,4,330
16,2,4,3,7
16,11,5,5,15
16,16,6,6,5
17,0,0,0,159
17,1,1,1,91
17,3,2,2,162
17,2,3,4,11
17,4,4,3,318
17,11,5,5,18
17,16,6,6,11
17,18,7,0,2
18,0,0,0,123
18,1,1,1,102
18,3,2,2,166
18,4,3,3,349
18,2,4,4,7
18,11,5,5,18
