frame_index,track_id,box_id,fp1_raw_count,fp3_displacement_filtered_count,fp4_camera_ttc_count,displacement_threshold
1,1,1,77,77,77,18.38
2,1,1,87,84,84,18.62
3,1,1,87,83,83,18.75
4,1,1,83,83,83,18.75
5,1,1,84,84,84,18.88
6,1,2,82,82,82,19.00
7,1,1,85,85,85,19.25
8,1,0,93,91,91,19.50
9,1,1,90,86,86,19.50
10,1,1,86,85,85,19.75
11,1,1,84,82,82,19.75
12,1,1,85,85,85,19.75
13,1,1,89,88,88,20.62
14,1,2,89,87,87,20.38
15,1,1,85,84,84,20.62
16,1,1,94,92,92,21.25
17,1,1,91,91,91,21.75
18,1,1,102,100,100,21.50
