frame,ttc_unfiltered,ttc_percentile_mean,ttc_percentile_median,mean_median_diff,skewness_type
1,12.5414,12.5319,12.3214,0.2104999999999997,MILDLY_SKEWED
2,12.7115,12.8392,12.6128,0.22639999999999993,MILDLY_SKEWED
3,16.8496,16.7987,14.3472,2.4514999999999993,HIGHLY_SKEWED
4,13.8481,15.1574,16.3396,1.1822,HIGHLY_SKEWED
5,12.9002,12.9483,15.7445,2.7962000000000007,HIGHLY_SKEWED
6,13.5626,13.7592,12.7817,0.9774999999999991,SKEWED
7,13.9116,12.6126,11.9829,0.6296999999999997,SKEWED
8,13.5443,13.1313,13.3543,0.22300000000000075,MILDLY_SKEWED
9,12.5545,12.6861,13.0241,0.33800000000000097,MILDLY_SKEWED
10,11.891,12.1799,11.1746,1.0053,HIGHLY_SKEWED
11,11.2506,11.6158,12.5898,0.9740000000000002,SKEWED
12,10.1717,10.1662,8.95856,1.2076399999999996,HIGHLY_SKEWED
13,9.62685,9.43291,10.1028,0.6698900000000005,SKEWED
14,9.30215,9.39993,9.59863,0.19870000000000054,SYMMETRIC
15,8.3212,8.36738,8.52157,0.15418999999999983,SYMMETRIC
16,9.16868,9.17224,9.71452,0.5422799999999999,SKEWED
17,10.7185,11.1849,9.54789,1.63701,HIGHLY_SKEWED
18,8.54012,8.15752,8.40002,0.24249999999999972,MILDLY_SKEWED
