detector,descriptor,mean_ttc,std_ttc,min_ttc,max_ttc,mean_frame_change,max_frame_change,num_valid,num_total,num_outliers,outlier_pct,smoothness_score
AKAZE,AKAZE,12.542455555555556,2.312173126501037,9.0268,16.2679,1.2171823529411767,2.863900000000001,18,18,0,0.0,0.4510228933914533
AKAZE,BRIEF,12.657344444444444,2.487222236244509,8.7425,16.5494,1.2680705882352938,2.635299999999999,18,18,0,0.0,0.44090338510057786
AKAZE,FREAK,12.363727777777777,2.40346076888343,8.7928,16.4049,0.9938764705882351,2.6426000000000016,18,18,0,0.0,0.5015355839496812
AKAZE,ORB,12.587344444444446,2.4713816597249183,8.6253,17.611,1.2467000000000001,3.5711000000000013,18,18,0,0.0,0.44509725374994435
AKAZE,SIFT,12.511611111111112,2.272657514132565,8.7936,16.3024,1.272070588235294,2.3843999999999994,18,18,0,0.0,0.4401271708625457
BRISK,AKAZE,16.001727777777774,4.989782734950107,9.9002,28.3382,5.239605882352941,18.1964,18,18,1,5.555555555555555,0.16026653267127544
BRISK,BRIEF,15.706422222222223,4.3590318970507855,9.6997,25.6255,3.142882352941176,8.4896,18,18,1,5.555555555555555,0.24137784151414904
BRISK,FREAK,15.336522222222222,4.493838588996118,9.0841,28.253,3.4785117647058827,12.125900000000001,18,18,1,5.555555555555555,0.22328846110906064
BRISK,ORB,14.926505555555556,4.218446679034598,9.623,23.456,2.179217647058824,10.8601,18,18,2,11.11111111111111,0.31454279354706205
BRISK,SIFT,14.8444,3.618566607097346,9.2961,24.0156,2.538105882352941,7.395099999999999,18,18,1,5.555555555555555,0.28263710393397595
FAST,AKAZE,16.750747058823528,8.524506053112413,9.6869,41.8762,7.29353125,29.344299999999997,17,18,2,11.764705882352942,0.12057590064545785
FAST,BRIEF,13.579088235294117,2.807245908439413,10.3963,22.7505,2.61124375,10.607999999999999,17,18,1,5.882352941176471,0.2769129056990407
FAST,FREAK,14.580216666666665,7.561637287449356,9.955,45.2203,4.876070588235295,32.326100000000004,18,18,1,5.555555555555555,0.1701817541133931
FAST,ORB,13.867664705882353,6.1305418399759315,7.8812,36.7195,4.46425,24.309799999999996,17,18,1,5.882352941176471,0.18300773207668025
FAST,SIFT,15.617829411764706,7.577552493715718,9.767,40.164,6.6468625,28.704900000000002,17,18,1,5.882352941176471,0.1307725881039446
HARRIS,AKAZE,20.10484375,18.310793871920488,10.9721,84.9148,9.673619999999998,69.2177,16,18,1,6.25,0.09368892653101761
HARRIS,BRIEF,23.745075,25.991210396942368,9.5605,94.0349,19.144046666666668,79.0533,16,18,2,12.5,0.04964245846663712
HARRIS,FREAK,24.142564285714283,24.464083737319523,9.6869,82.668,10.096538461538463,68.1324,14,18,2,14.285714285714286,0.09011819347682921
HARRIS,ORB,14.659807142857144,6.5362246716132795,9.5436,37.2635,4.682492307692308,23.819000000000003,14,18,1,7.142857142857143,0.17597912075416527
HARRIS,SIFT,15.917526666666667,15.633647821092671,5.9845,73.6443,9.952085714285714,60.1751,15,18,1,6.666666666666667,0.09130680914007248
ORB,AKAZE,11.02968,7.799066496122042,5.3017,39.0637,5.548799999999999,29.279899999999998,15,18,1,6.666666666666667,0.15269973124847303
ORB,BRIEF,15.571649999999998,6.583113571458586,7.4173,36.2433,5.106152941176471,20.053499999999996,18,18,1,5.555555555555555,0.16376923566007673
ORB,FREAK,20.574873333333336,15.291158738716378,4.8309,54.2226,19.10715714285714,47.6446,15,18,2,13.333333333333334,0.04973353482519729
ORB,ORB,14.287833333333332,6.41108498973111,7.9535,33.0269,6.1145,21.085099999999997,18,18,1,5.555555555555555,0.14055801532082368
ORB,SIFT,18.588147058823527,15.530059535513988,7.3129,63.7824,16.173625,55.535900000000005,17,18,2,11.764705882352942,0.058228824723958975
SHITOMASI,AKAZE,12.228122222222222,1.356342927612317,9.407,14.5224,0.7705411764705883,1.6832999999999991,18,18,2,11.11111111111111,0.5647990644269615
SHITOMASI,BRIEF,12.081138888888889,1.6124520809895881,8.4166,14.2159,0.849364705882353,3.2897,18,18,1,5.555555555555555,0.5407262271304613
SHITOMASI,FREAK,12.444555555555556,1.293923697828612,10.347,14.6183,1.0754294117647059,3.505799999999999,18,18,0,0.0,0.4818279987415787
SHITOMASI,ORB,12.133055555555556,1.576362589501618,8.3758,14.9052,1.265870588235294,2.591799999999999,18,18,1,5.555555555555555,0.44133147108759657
SHITOMASI,SIFT,12.156944444444445,1.5032684572927615,8.1612,14.1323,1.3589411764705885,3.2993000000000006,18,18,1,5.555555555555555,0.4239190065333399
SIFT,AKAZE,11.62625,2.267896391237679,8.5422,16.1056,1.713217647058823,4.7912,18,18,1,5.555555555555555,0.3685660828146309
SIFT,BRIEF,11.377527777777779,2.2601672174631373,8.5405,16.8361,1.0740235294117648,3.459999999999999,18,18,1,5.555555555555555,0.4821546071290813
SIFT,FREAK,11.37988888888889,2.3097561434269993,8.4951,17.1442,1.2802411764705885,4.467800000000002,18,18,1,5.555555555555555,0.4385501017694206
SIFT,ORB,11.533549999999998,2.311728291476122,8.7115,17.4042,1.1441058823529413,4.1623,18,18,1,5.555555555555555,0.46639487733814716
SIFT,SIFT,11.535883333333334,2.2558436646112394,8.7606,16.8361,1.1680411764705878,3.6763999999999974,18,18,1,5.555555555555555,0.46124585217884406
