frame_index,track_id,box_id,matches_before,matches_after,outliers_removed_pct,mean_distance,median_distance,min_distance,max_distance,mean_distance_unfiltered,median_distance_unfiltered,min_distance_unfiltered,max_distance_unfiltered
1,1,1,77,77,0.00,1.67,1.00,0.00,15.03,1.67,1.00,0.00,15.03
2,1,1,87,84,3.45,1.41,1.00,0.00,10.05,2.66,1.00,0.00,63.13
3,1,1,87,83,4.60,1.38,1.41,0.00,8.06,2.86,1.41,0.00,60.03
4,1,1,83,83,0.00,1.71,1.41,0.00,16.12,1.71,1.41,0.00,16.12
5,1,1,84,84,0.00,1.66,1.41,0.00,13.04,1.66,1.41,0.00,13.04
6,1,2,82,82,0.00,1.11,1.00,0.00,12.04,1.11,1.00,0.00,12.04
7,1,1,85,85,0.00,1.09,1.00,0.00,12.04,1.09,1.00,0.00,12.04
8,1,0,93,91,2.15,0.96,1.00,0.00,4.12,1.78,1.00,0.00,51.97
9,1,1,90,86,4.44,1.06,1.00,0.00,11.05,2.08,1.00,0.00,26.02
10,1,1,86,85,1.16,0.97,1.00,0.00,10.00,1.60,1.00,0.00,55.08
11,1,1,84,82,2.38,1.37,1.00,0.00,11.00,2.10,1.00,0.00,39.05
12,1,1,85,85,0.00,1.07,1.00,0.00,12.04,1.07,1.00,0.00,12.04
13,1,1,89,88,1.12,1.13,1.00,0.00,12.00,1.45,1.00,0.00,30.00
14,1,2,89,87,2.25,1.11,1.00,0.00,10.05,2.03,1.00,0.00,56.29
15,1,1,85,84,1.18,1.21,1.00,0.00,5.10,1.84,1.00,0.00,54.56
16,1,1,94,92,2.13,1.77,1.41,0.00,21.10,2.34,1.41,0.00,31.00
17,1,1,91,91,0.00,1.49,1.41,0.00,5.00,1.49,1.41,0.00,5.00
18,1,1,102,100,1.96,1.58,1.41,0.00,15.13,2.44,1.41,0.00,48.10
