detector,descriptor,frame_index,track_id,keypoint_count,match_count,filtered_match_count,num_pairs,ttc_camera
HARRIS,BRIEF,1,1,851,28,28,2,nan
HARRIS,ORB,1,1,851,28,28,2,nan
HARRIS,FREAK,1,1,855,26,24,2,nan
HARRIS,AKAZE,1,1,882,28,28,1,nan
HARRIS,SIFT,1,1,882,28,28,2,nan
FAST,BRIEF,1,1,960,53,52,270,15.8534
FAST,ORB,1,1,955,53,52,250,13.3960
FAST,FREAK,1,1,965,43,41,193,12.8113
FAST,AKAZE,1,1,1022,56,56,319,32.4650
FAST,SIFT,1,1,1022,57,56,327,26.0083
BRISK,BRIEF,1,1,2973,154,153,1627,19.5887
BRISK,ORB,1,1,2958,129,128,1169,23.3826
BRISK,FREAK,1,1,2467,128,127,1175,16.3871
BRISK,AKAZE,1,1,3000,121,104,708,28.3382
BRISK,SIFT,1,1,3000,146,141,1471,14.7088
ORB,BRIEF,1,1,500,43,43,338,14.7511
ORB,ORB,1,1,500,43,42,315,24.4086
ORB,FREAK,1,1,156,21,21,52,12.6861
ORB,AKAZE,1,1,500,29,27,130,9.7838
ORB,SIFT,1,1,500,42,40,271,17.5984
AKAZE,BRIEF,1,1,1541,94,94,805,14.0895
AKAZE,ORB,1,1,1539,91,90,758,13.0076
AKAZE,FREAK,1,1,1541,87,86,740,13.2829
AKAZE,AKAZE,1,1,1541,88,88,708,12.6395
AKAZE,SIFT,1,1,1541,93,93,803,12.4678
SIFT,BRIEF,1,1,1700,100,96,566,12.7740
SIFT,ORB,1,1,1680,82,81,472,13.2146
SIFT,FREAK,1,1,1709,86,85,477,13.1153
SIFT,AKAZE,1,1,1915,41,38,166,13.5558
SIFT,SIFT,1,1,1915,86,84,506,12.9741
SHITOMASI,BRIEF,1,1,1564,79,79,378,13.2633
SHITOMASI,ORB,1,1,1548,77,77,343,12.9430
SHITOMASI,FREAK,1,1,1586,65,64,270,12.9787
SHITOMASI,AKAZE,1,1,1759,79,79,378,13.0336
SHITOMASI,SIFT,1,1,1759,77,76,343,12.9494
HARRIS,BRIEF,2,1,340,63,63,62,94.0349
HARRIS,ORB,2,1,331,62,62,46,nan
HARRIS,FREAK,2,1,340,56,50,43,80.7525
HARRIS,AKAZE,2,1,342,65,65,63,84.9148
HARRIS,SIFT,2,1,342,65,65,69,nan
FAST,BRIEF,2,1,960,53,53,294,12.1425
FAST,ORB,2,1,951,53,53,294,11.7712
FAST,FREAK,2,1,967,40,38,154,12.9766
FAST,AKAZE,2,1,1019,54,54,307,12.5319
FAST,SIFT,2,1,1019,54,54,309,11.4591
BRISK,BRIEF,2,1,2952,164,162,1762,19.2353
BRISK,ORB,2,1,2933,136,132,1212,23.4560
BRISK,FREAK,2,1,2472,147,144,1396,28.2530
BRISK,AKAZE,2,1,2974,132,117,828,10.1418
BRISK,SIFT,2,1,2974,162,156,1544,15.7553
ORB,BRIEF,2,1,500,48,48,378,16.1898
ORB,ORB,2,1,500,46,43,312,12.9522
ORB,FREAK,2,1,175,26,26,82,41.2281
ORB,AKAZE,2,1,500,31,29,135,39.0637
