frame_index,track_id,num_ratios,min_ratio,max_ratio,median_ratio,mean_ratio,stddev_ratio,num_filtered,filtered_min,filtered_max,filtered_median
1,1,310,0.988038,1.02458,1.00736,1.0066,0.00587016,310,0.988038,1.02458,1.00736
2,1,502,0.970998,1.04457,1.00758,1.00676,0.00998531,502,0.970998,1.04457,1.00758
3,1,368,0.981296,1.02517,1.00663,1.00487,0.0078798,368,0.981296,1.02517,1.00663
4,1,368,0.973758,1.02479,1.00729,1.00602,0.0062068,368,0.973758,1.02479,1.00729
5,1,295,0.978279,1.02224,1.00787,1.00756,0.00618494,295,0.978279,1.02224,1.00787
6,1,366,0.983489,1.01988,1.00656,1.00436,0.00622876,366,0.983489,1.01988,1.00656
7,1,388,0.98819,1.02732,1.00723,1.00613,0.00742948,388,0.98819,1.02732,1.00723
8,1,635,0.990257,1.03756,1.00719,1.0066,0.00600143,635,0.990257,1.03756,1.00719
9,1,553,0.989709,1.0455,1.00818,1.00856,0.00765941,553,0.989709,1.0455,1.00818
10,1,528,0.984785,1.02726,1.00715,1.0063,0.0067874,528,0.984785,1.02726,1.00715
11,1,453,0.985367,1.0214,1.00868,1.00926,0.00461392,453,0.985367,1.0214,1.00868
12,1,478,0.993122,1.02133,1.00794,1.00778,0.00429252,478,0.993122,1.02133,1.00794
13,1,559,0.991168,1.02584,1.00849,1.00931,0.00501178,559,0.991168,1.02584,1.00849
14,1,560,0.990959,1.02707,1.00816,1.00806,0.0064978,560,0.990959,1.02707,1.00816
15,1,589,0.986477,1.02579,1.00896,1.00863,0.00716993,589,0.986477,1.02579,1.00896
16,1,690,0.983636,1.02919,1.01001,1.01052,0.00797075,690,0.983636,1.02919,1.01001
17,1,571,0.976716,1.0278,1.00885,1.00934,0.00749293,571,0.976716,1.0278,1.00885
18,1,783,0.984386,1.0266,1.00927,1.00945,0.00704562,783,0.984386,1.0266,1.00927
