frame_index,track_id,prev_box_id,curr_box_id,unfiltered,percentile_mean,percentile_median,
1,1,1,1,12.5414,12.5319,12.3214,
2,1,1,1,12.7115,12.8392,12.6128,
3,1,1,1,16.8496,16.7987,14.3472,
4,1,1,1,13.8481,15.1574,16.3396,
5,1,1,1,12.9002,12.9483,15.7445,
6,1,1,2,13.5626,13.7592,12.7817,
7,1,2,1,13.9116,12.6126,11.9829,
8,1,1,0,13.5443,13.1313,13.3543,
9,1,0,1,12.5545,12.6861,13.0241,
10,1,1,1,11.891,12.1799,11.1746,
11,1,1,1,11.2506,11.6158,12.5898,
12,1,1,1,10.1717,10.1662,8.95856,
13,1,1,1,9.62685,9.43291,10.1028,
14,1,1,2,9.30215,9.39993,9.59863,
15,1,2,1,8.3212,8.36738,8.52157,
16,1,1,1,9.16868,9.17224,9.71452,
17,1,1,1,10.7185,11.1849,9.54789,
18,1,1,1,8.54012,8.15752,8.40002,
